title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
慧忠里 1室1厅 46.48平米,2019.07.23,慧忠里,1室1厅1厨1卫,低楼层(共6层),46.48㎡,板楼,南,1993,101103163314,2018-08-04,暂无数据,360,2,390,353,1,8,66,5293
慧忠里 1室1厅 45.35平米,2019.07,慧忠里,1室1厅1厨1卫,高楼层(共6层),45.35㎡,板楼,西南,1991,101105206994,2019-07-13,暂无数据,406-415,1,415,暂无数据,0,1,0,暂无数据
慧忠里 1室1厅 47.72平米,2019.08,慧忠里,1室1厅1厨1卫,中楼层(共5层),47.72㎡,板楼,南 北,1990,101105392255,2019-08-05,满五年,440-449,1,445,暂无数据,0,21,0,9
慧忠里 1室1厅 44.47平米,2019.08,慧忠里,1室1厅1厨1卫,低楼层(共6层),44.47㎡,板楼,东南,1993,101105084315,2019-06-30,满五年,403-412,1,410,32,1,74,38,1477
慧忠里 2室1厅 51.67平米,2019.08,慧忠里,2室1厅1厨1卫,底层(共6层),51.67㎡,板楼,东 西北,1993,BJ0031002331,2019-09-12,暂无数据,414-457,1,暂无数据,暂无数据,0,0,0,暂无数据
慧忠里 1室1厅 50.43平米,2019.08.04,慧忠里,1室1厅1厨1卫,顶层(共16层),50.43㎡,塔楼,南,1992,101104709497,2019-05-13,暂无数据,430,1,439,84,1,71,23,746
慧忠里 1室1厅 46.71平米,2019.08.14,慧忠里,1室1厅1厨1卫,高楼层(共6层),46.71㎡,板楼,南,1993,101105287485,2019-07-23,满五年,435,2,440,22,0,5,11,218
慧忠里 2室1厅 63.94平米,2019.08.16,慧忠里,2室1厅1厨1卫,底层(共16层),63.94㎡,塔楼,南,1993,101104709476,2019-05-13,满两年,537,1,550,95,1,70,48,1035
慧忠里 1室1厅 45.26平米,2019.08.17,慧忠里,1室1厅1厨1卫,底层(共5层),45.26㎡,板楼,南,1991,101105157670,2019-07-07,满五年,445,1,449,41,1,24,24,585
慧忠里 1室1厅 45.19平米,2019.08.18,慧忠里,1室1厅1厨1卫,顶层(共6层),45.19㎡,板楼,西,1993,101104415038,2019-04-02,满五年,350,1,369,138,1,19,100,2544
慧忠里 3室1厅 69.8平米,2019.08.18,慧忠里,3室1厅1厨1卫,顶层(共6层),69.8㎡,板楼,南 北,1990,101103284364,2018-09-04,满五年,568,1,586,349,1,48,186,6912
慧忠里 2室1厅 63.49平米,2019.08.19,慧忠里,2室1厅1厨2卫,中楼层(共6层),63.49㎡,板楼,南 北,1993,101103971060,2019-01-11,满五年,503,2,530,220,1,24,209,3719
慧忠里 3室1厅 70.41平米,2019.07,慧忠里,3室1厅1厨1卫,中楼层(共6层),70.41㎡,板楼,北 南,1993,101104895305,2019-06-07,满五年,660-673,1,700,24,1,13,20,203
慧忠里 3室1厅 76.41平米,2019.06.25,慧忠里,3室1厅1厨1卫,低楼层(共6层),76.41㎡,板楼,南 北,1992,101104910040,2019-06-09,暂无数据,679,1,686,16,1,17,0,2
慧忠里 2室1厅 66.94平米,2019.06.28,慧忠里,2室1厅1厨1卫,低楼层(共16层),66.94㎡,塔楼,东南,1993,101104491473,2019-04-13,满两年,555,1,580,77,0,2,72,961
慧忠里 2室1厅 87.25平米,2019.06.29,慧忠里,2室1厅1厨1卫,中楼层(共22层),87.25㎡,塔楼,西南,1999,101103857690,2018-12-15,满五年,637,1,668,196,1,104,276,5236
慧忠里 2室1厅 58.45平米,2019.06.30,慧忠里,2室1厅1厨1卫,高楼层(共6层),58.45㎡,板楼,南 北,1993,101104488677,2019-04-13,满五年,528,1,550,79,1,58,19,724
慧忠里 1室1厅 46.48平米,2019.07,慧忠里,1室1厅1厨1卫,中楼层(共6层),46.48㎡,板楼,东南,1993,101104567388,2019-04-23,满五年,411-420,2,428,69,1,14,3,230
慧忠里 1室1厅 40.86平米,2019.07,慧忠里,1室1厅1厨1卫,低楼层(共6层),40.86㎡,板楼,西,1991,101104537813,2019-04-19,满五年,401-405,1,409,73,1,27,38,1457
慧忠里 1室1厅 45.36平米,2019.05.12,慧忠里,1室1厅1厨1卫,高楼层(共6层),45.36㎡,板楼,东南,1991,101104270729,2019-03-14,满五年,411,1,417,60,1,32,14,422
慧忠里 1室1厅 46.71平米,2019.05.13,慧忠里,1室1厅1厨1卫,高楼层(共6层),46.71㎡,板楼,东,1993,101104501042,2019-04-14,满两年,370,1,388,29,1,2,25,377
慧忠里 2室2厅 100.17平米,2019.05.17,慧忠里,2室2厅1厨1卫,高楼层(共14层),100.17㎡,板楼,西南,1997,101103622778,2018-10-30,满五年,788,1,835,199,1,111,47,5104
慧忠里 1室1厅 45.5平米,2019.05.19,慧忠里,1室1厅1厨1卫,高楼层(共6层),45.5㎡,板楼,西南,1991,101103788801,2018-11-30,暂无数据,412,1,420,170,0,9,0,7
慧忠里 2室1厅 58.45平米,2019.05.22,慧忠里,2室1厅1厨1卫,低楼层(共6层),58.45㎡,板楼,南 北,1993,101104492671,2019-04-13,满两年,535,2,540,39,1,58,34,4682
慧忠里 1室1厅 45.76平米,2019.05.24,慧忠里,1室1厅1厨1卫,高楼层(共6层),45.76㎡,板楼,东 西 北,1994,101104214532,2019-03-07,满五年,415,1,417,78,1,74,14,731
慧忠里 2室1厅 57.51平米,2019.06,慧忠里,2室1厅1厨1卫,底层(共6层),57.51㎡,板楼,南 北,1993,101104420954,2019-04-03,满五年,525-536,1,540,59,1,103,41,1705
慧忠里 2室1厅 60.61平米,2019.06,慧忠里,2室1厅1厨1卫,底层(共6层),60.61㎡,板楼,东 西,1993,101104593535,2019-04-27,满五年,485-536,1,538,35,1,29,37,1172
慧忠里 2室1厅 46.42平米,2019.06,慧忠里,2室1厅1厨1卫,顶层(共6层),46.42㎡,板楼,南 北,1991,101104427973,2019-04-04,暂无数据,385-426,1,460,58,0,12,0,3
慧忠里 1室1厅 46.48平米,2019.06.04,慧忠里,1室1厅1厨1卫,中楼层(共6层),46.48㎡,板楼,西南,1993,101103936340,2019-01-03,满五年,406,1,414.9,152,1,26,12,564
慧忠里 1室1厅 52.9平米,2019.06.04,慧忠里,1室1厅1厨1卫,低楼层(共16层),52.9㎡,塔楼,东南,1992,101104709439,2019-05-13,暂无数据,463,1,475,23,0,10,16,226
慧忠里 3室1厅 80.62平米,2019.06.18,慧忠里,3室1厅1厨1卫,中楼层(共6层),80.62㎡,板楼,东 西,1990,101104887645,2019-06-06,满五年,666,1,680,12,0,3,21,292
慧忠里 1室1厅 47.12平米,2019.06.20,慧忠里,1室1厅1厨1卫,顶层(共6层),47.12㎡,板楼,东 西,1991,101104841513,2019-05-31,满五年,394,1,410,20,0,6,7,236
慧忠里 1室1厅 45.36平米,2019.06.23,慧忠里,1室1厅1厨1卫,中楼层(共6层),45.36㎡,板楼,西南,1991,101104646735,2019-05-05,满五年,417,1,420,50,1,13,16,718
