title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
青年湖东里 2室1厅 52.01平米,2016.04,青年湖东里,2室1厅1厨1卫,中楼层(共5层),52.01㎡,板楼,南 北,1980,101091974093,2016-04-11,暂无数据,319-352,2,345,暂无数据,1,96,59,暂无数据
青年湖东里 1室1厅 37.64平米,2016.04,青年湖东里,1室1厅1厨1卫,中楼层(共5层),37.64㎡,板楼,南,1980,BJDC92176740,2016-04-01,满两年,257-284,2,270,1,1,0,9,暂无数据
青年湖东里 1室1厅 42平米,2016.06.28,青年湖东里,1室1厅1厨1卫,中楼层(共6层),42㎡,板楼,南,1988,101091990663,2016-04-14,满五年,315,1,315,76,1,34,41,暂无数据
青年湖东里 2室1厅 64.38平米,2016.07,青年湖东里,2室1厅1厨1卫,中楼层(共18层),64.38㎡,塔楼,南,1988,101092275051,2016-05-27,暂无数据,441-487,1,468,36,1,42,31,暂无数据
青年湖东里 1室1厅 45.71平米,2016.07,青年湖东里,1室1厅1厨1卫,高楼层(共6层),45.71㎡,板楼,南,1994,101100225716,2016-06-24,暂无数据,319-352,1,320,7,0,1,30,4
青年湖东里 2室1厅 66.5平米,2016.07.25,青年湖东里,2室1厅1厨1卫,高楼层(共6层),66.5㎡,板楼,南 北,1992,101100190553,2016-06-15,满五年,455,1,458,40,1,51,64,3
青年湖东里 2室1厅 64平米,2016.07.26,青年湖东里,2室1厅1厨1卫,低楼层(共18层),64㎡,塔楼,南,1988,101091704712,2016-03-07,满五年,464,1,468,141,0,91,70,1
青年湖东里 2室1厅 49.02平米,2016.07.31,青年湖东里,2室1厅1厨1卫,顶层(共6层),49.02㎡,板楼,南 北,1994,101092372912,2016-06-12,满五年,385,1,390,50,0,6,70,暂无数据
青年湖东里 1室1厅 37.64平米,2016.08.03,青年湖东里,1室1厅1厨1卫,中楼层(共5层),37.64㎡,板楼,南,1980,101091933411,2016-04-06,满五年,281,1,293,120,1,29,97,1
青年湖东里 2室1厅 66.42平米,2016.08.07,青年湖东里,2室1厅1厨1卫,顶层(共6层),66.42㎡,板楼,南 北,1992,101091678650,2016-03-04,暂无数据,443,1,448,157,1,5,34,暂无数据
青年湖东里 1室1厅 46.34平米,2016.08.17,青年湖东里,1室1厅1厨1卫,顶层(共18层),46.34㎡,塔楼,南,1988,101091636225,2016-02-27,满五年,328,1,335,172,1,66,61,暂无数据
青年湖东里 2室2厅 77.36平米,2016.08.30,青年湖东里,2室2厅1厨1卫,顶层(共6层),77.36㎡,板楼,东 西,1992,101091471045,2016-01-21,暂无数据,468,1,470,223,0,123,341,2
青年湖东里 2室1厅 55.32平米,2016.08.30,青年湖东里,2室1厅1厨1卫,高楼层(共6层),55.32㎡,板楼,南 北,1988,101100507118,2016-08-29,暂无数据,418,1,425,1,0,1,0,暂无数据
青年湖东里 1室1厅 50.38平米,2016.08.30,青年湖东里,1室1厅1厨1卫,中楼层(共18层),50.38㎡,塔楼,南 北,1988,101091764794,2016-03-15,满五年,352,1,353,169,1,144,111,暂无数据
青年湖东里 1室1厅 40.14平米,2016.08.31,青年湖东里,1室1厅1厨1卫,高楼层(共6层),40.14㎡,板楼,南,1990,101100488469,2016-08-25,满两年,310,1,335,6,0,2,5,暂无数据
青年湖东里 1室2厅 67.27平米,2016.09,青年湖东里,1室2厅1厨1卫,顶层(共18层),67.27㎡,塔楼,东 西 北,1988,BJ0002223610,暂无数据,暂无数据,361-399,2,暂无数据,暂无数据,0,0,0,暂无数据
青年湖东里 2室1厅 69.36平米,2016.09,青年湖东里,2室1厅1厨1卫,高楼层(共18层),69.36㎡,塔楼,南,1988,101092214759,2016-05-18,暂无数据,475-525,1,505,106,1,104,91,15
青年湖东里 2室1厅 69.36平米,2016.09,青年湖东里,2室1厅1厨1卫,底层(共18层),69.36㎡,塔楼,南,1988,101100469069,2016-08-21,暂无数据,456-504,1,505,11,0,2,34,9
青年湖东里 1室1厅 42平米,2016.09,青年湖东里,1室1厅1厨1卫,中楼层(共6层),42㎡,板楼,南,1988,101100422489,2016-08-10,暂无数据,319-352,2,335,22,0,3,40,4
青年湖东里 2室1厅 60.78平米,2015.07.25,青年湖东里,2室1厅1厨1卫,底层(共6层),60.78㎡,板楼,南 北,1994,BJDC89068757,2015-07-25,满五年,295,1,305,1,1,0,22,1
青年湖东里 --室--厅 52.01平米,2015.08,青年湖东里,- -室- -厅,中楼层(共5层),52.01㎡,板楼,暂无数据,1980,BJ0000985510,2015-08-01,暂无数据,273-278,2,暂无数据,1,0,0,0,暂无数据
青年湖东里 1室1厅 46平米,2015.08,青年湖东里,1室1厅1厨1卫,高楼层(共18层),46㎡,塔楼,南,1988,BJDC90130135,2015-08-01,满五年,233-258,2,251,1,0,0,3,暂无数据
青年湖东里 2室1厅 61平米,2015.08,青年湖东里,2室1厅1厨1卫,底层(共6层),61㎡,板楼,南 北,1994,BJDC89956181,2015-08-01,满五年,300-331,1,320,1,0,0,38,2
