title,deal_date,community,house_type,floor,area,building_type,orientation,build_year,lianjia_id,listing_time,last_transaction_duration,transaction_price,history_trade_count,listed_price,transaction_duration,price_change_count,visit_count,follower_count,page_view_count
民旺园 2室1厅 50.54平米,2017.03.16,民旺园,2室1厅1厨1卫,顶层(共4层),50.54㎡,板楼,南,1992,101101226596,2017-02-24,暂无数据,615,1,620,21,0,17,50,3534
民旺园 2室1厅 67.71平米,2017.03.26,民旺园,2室1厅1厨1卫,中楼层(共9层),67.71㎡,板塔结合,东,1996,101101364076,2017-03-20,满五年,768,1,830,6,1,1,12,587
民旺园 2室1厅 55.56平米,2017.05.07,民旺园,2室1厅1厨1卫,低楼层(共6层),55.56㎡,板楼,东 西,1990,101101507738,2017-04-23,满五年,675,1,690,14,1,5,30,1377
民旺园 2室1厅 59.39平米,2017.05.07,民旺园,2室1厅1厨1卫,高楼层(共16层),59.39㎡,塔楼,南,1993,101101508856,2017-04-23,满五年,710,1,710,14,1,2,6,3817
民旺园 2室1厅 56.2平米,2017.06.10,民旺园,2室1厅1厨1卫,中楼层(共6层),56.2㎡,板楼,南,1986,101101468966,2017-04-13,暂无数据,585,1,585,58,1,67,44,2677
民旺园 2室1厅 64.42平米,2017.07.21,民旺园,2室1厅1厨1卫,中楼层(共4层),64.42㎡,板楼,南 北,1999,101101573868,2017-05-12,暂无数据,530,1,560,70,1,43,169,9427
民旺园 2室1厅 56平米,2017.08,民旺园,2室1厅1厨1卫,底层(共5层),56㎡,板楼,南,1985,BJ0003383556,2018-01-16,暂无数据,556-615,1,暂无数据,暂无数据,0,0,0,暂无数据
民旺园 1室1厅 45.31平米,2016.12.27,民旺园,1室1厅1厨1卫,底层(共9层),45.31㎡,板塔结合,东 西,1996,101100656170,2016-09-30,满五年,450,1,460,89,1,96,41,1558
民旺园 2室1厅 55.18平米,2016.12.31,民旺园,2室1厅1厨1卫,底层(共6层),55.18㎡,板楼,东 西,1990,101100961128,2016-12-14,满五年,545,1,580,18,1,17,33,2182
民旺园 2室1厅 55.54平米,2017.01.02,民旺园,2室1厅1厨1卫,高楼层(共6层),55.54㎡,板楼,东 西,1990,101101003809,2016-12-25,满五年,570,1,590,8,1,6,11,479
民旺园 2室1厅 60平米,2017.01.08,民旺园,2室1厅1厨1卫,低楼层(共16层),60㎡,塔楼,南,1993,101101033260,2017-01-03,满五年,636,1,660,6,0,11,12,813
民旺园 2室1厅 40.82平米,2017.01.16,民旺园,2室1厅1厨1卫,中楼层(共5层),40.82㎡,板楼,东 西,1989,101101002709,2016-12-25,满五年,450,1,460,23,0,30,62,4586
民旺园 2室1厅 63.67平米,2017.08.12,民旺园,2室1厅1厨1卫,低楼层(共16层),63.67㎡,塔楼,南,1993,101101740973,2017-06-25,满五年,601,1,636.7,48,0,21,101,6886
民旺园 2室1厅 60.05平米,2017.08.23,民旺园,2室1厅1厨1卫,低楼层(共6层),60.05㎡,板楼,南 北,1986,101101917753,2017-08-07,暂无数据,606,1,640,17,0,5,0,暂无数据
民旺园 2室1厅 47.29平米,2017.09,民旺园,2室1厅1厨1卫,底层(共6层),47.29㎡,板楼,南 北,2000,101102017047,2017-08-31,满五年,347-384,1,423,2,0,7,246,3567
民旺园 1室1厅 47.61平米,2017.09.10,民旺园,1室1厅1厨1卫,中楼层(共4层),47.61㎡,板楼,南,1999,101101795605,2017-07-09,满五年,425,1,450,63,1,54,178,7865
民旺园 2室2厅 60.44平米,2017.11.11,民旺园,2室2厅1厨1卫,高楼层(共6层),60.44㎡,板楼,南 北,1982,101102056515,2017-09-09,满五年,615,1,670,64,1,7,9,64
民旺园 3室1厅 67.71平米,2017.12.08,民旺园,3室1厅1厨1卫,高楼层(共9层),67.71㎡,板塔结合,东,1996,101102193682,2017-10-15,满五年,693,1,710,54,1,38,35,1397
民旺园 2室1厅 58.85平米,2017.12.15,民旺园,2室1厅1厨1卫,中楼层(共5层),58.85㎡,板楼,南 北,1985,101102130563,2017-09-27,满两年,595,2,605,80,1,62,112,4385
民旺园 3室1厅 58.18平米,2018.01.06,民旺园,3室1厅1厨1卫,中楼层(共5层),58.18㎡,板楼,南 西 北,1982,101102305243,2017-11-14,满五年,574,1,585,53,1,41,62,2741
民旺园 2室1厅 63.87平米,2018.01.09,民旺园,2室1厅1厨1卫,中楼层(共16层),63.87㎡,塔楼,西南,1993,101102038794,2017-09-04,满五年,620,1,630,128,1,3,3,225
民旺园 3室1厅 57.97平米,2016.12.17,民旺园,3室1厅1厨1卫,顶层(共5层),57.97㎡,板楼,南 北,1982,101100473892,2016-08-22,满两年,449,1,450,118,1,39,189,4730
民旺园 2室1厅 65.35平米,2016.07.26,民旺园,2室1厅1厨1卫,高楼层(共16层),65.35㎡,塔楼,东北,1993,101100314254,2016-07-15,满五年,528,1,535,11,1,4,12,暂无数据
民旺园 3室1厅 61.37平米,2016.07.31,民旺园,3室1厅1厨1卫,低楼层(共6层),61.37㎡,板楼,南 北,1982,101092125777,2016-05-04,满两年,540,2,565,89,0,36,38,暂无数据
民旺园 2室1厅 48平米,2016.08,民旺园,2室1厅1厨1卫,底层(共4层),48㎡,板楼,南,1992,101100200447,2016-06-18,暂无数据,376-415,2,405,44,1,22,28,7
